#{"t_start": 1754409246.5325806, "env_id": "CarRacing-v3"}
r,l,t
-76.744186,1000,27.987511
-65.870307,1000,39.027249
-70.967742,1000,49.974773
-59.259259,1000,60.06321
-66.555184,1000,72.175949
-62.837838,1000,84.133983
-65.250965,1000,95.975077
-68.871595,1000,107.731228
-66.442953,1000,119.492704
-65.944272,1000,130.863696
-73.770492,1000,145.519825
-82.404692,1000,162.660625
-79.452055,1000,179.29867
-58.333333,1000,196.215958
-76.109215,1000,211.363546
-65.909091,1000,226.318818
-77.848101,1000,242.279407
-80.620155,1000,258.740635
-80.19802,1000,276.807489
-75.265018,1000,294.768858
-59.51417,1000,310.819475
-65.870307,1000,327.753466
-79.094077,1000,345.52444
-80.456026,1000,362.404891
-79.72973,1000,378.967381
-86.206897,1000,395.448077
-80.978261,1000,412.994339
-66.216216,1000,430.300751
-82.014388,1000,448.11407
-72.696246,1000,465.542534
-73.333333,1000,483.67272
-81.617647,1000,500.992237
-85.294118,1000,518.450032
-67.63754,1000,537.566922
-52.702703,1000,556.381159
-70.873786,1000,573.32498
-73.244147,1000,591.723978
-73.333333,1000,608.642754
-62.328767,1000,625.466467
-63.45515,1000,641.823602
-55.719557,1000,658.484429
-48.979592,1000,674.866039
-50.166113,1000,691.395676
-44.852941,1000,708.239782
-79.041916,1000,726.199215
-76.190476,1000,743.382304
-79.041916,1000,762.279304
-47.183099,1000,781.166517
-51.492537,1000,799.518517
-66.777409,1000,817.703799
-76.351351,1000,834.765742
-64.157706,1000,851.373187
-56.989247,1000,868.080276
-34.615385,1000,885.924561
-33.070866,1000,904.48393
-73.333333,1000,922.405148
-56.834532,1000,940.602273
-55.172414,1000,958.780909
-77.491961,1000,976.3755
-72.762646,1000,991.533848
-54.12844,1000,1004.199425
-76.973684,1000,1016.995144
-73.770492,1000,1032.174599
-60.13289,1000,1048.259456
-64.426877,1000,1062.860285
-75.975976,1000,1079.420556
-74.637681,1000,1095.708241
-76.5625,1000,1107.482788
-78.723404,1000,1119.60612
-78.571429,1000,1131.749398
-78.873239,1000,1143.967269
-78.947368,1000,1155.899372
-74.074074,1000,1167.976455
-77.707006,1000,1180.008265
-79.166667,1000,1192.093673
-78.10219,1000,1204.25356
-77.777778,1000,1216.385056
-72.696246,1000,1228.323076
-48.012232,1000,1240.292439
-75.177305,1000,1252.02946
-66.216216,1000,1264.38549
-47.712418,1000,1277.050578
-56.363636,1000,1289.11527
-83.870968,1000,1301.241964
-58.188153,1000,1313.311671
