#{"t_start": 1754456599.427938, "env_id": "CarRacing-v3"}
r,l,t
50.641026,1000,11.174891
-23.357664,1000,19.802051
-24.460432,1000,27.956749
-20.792079,1000,37.020953
-133.194719,861,44.971605
-54.861111,1000,54.430372
-125.57205,412,58.461252
-123.572414,685,65.169946
-107.584314,469,69.881571
-13.333333,1000,80.259581
-70.149254,1000,90.566176
8.77193,1000,100.230611
-71.731449,1000,110.063431
13.445378,1000,120.782662
2.112676,1000,131.608073
-23.611111,1000,142.228826
-62.199313,1000,152.750431
-13.621262,1000,163.727906
-29.530201,1000,174.530771
-78.181818,1000,185.061442
-68.503937,1000,195.715976
-32.624113,1000,206.334138
-61.165049,1000,217.187663
-74.452555,1000,227.850219
-38.983051,1000,238.73772
-79.238754,1000,249.565363
-5.109489,1000,260.386267
-60.288809,1000,271.315779
149.201278,1000,282.221428
30.0,1000,293.305259
-82.935154,1000,304.129748
-46.202532,1000,315.162165
-48.207171,1000,325.701085
60.0,1000,336.103293
-9.090909,1000,345.776947
254.243542,1000,356.603349
-9.942321,568,362.76106
-81.751724,853,371.938009
-77.419355,1000,383.058901
3.942652,1000,393.847634
-73.59736,1000,404.795935
-7.894737,1000,415.993174
-26.829268,1000,426.469661
8.168562,625,433.331666
18.380062,1000,444.227827
105.128205,1000,455.107237
75.357993,924,464.85513
-28.802589,1000,475.686995
-46.031746,1000,486.442089
-53.125,1000,497.118391
-93.734426,799,505.664271
-19.413919,1000,516.012166
-62.209302,1000,527.185203
25.401929,1000,538.374712
52.671756,1000,549.079821
-53.79538,1000,560.146689
18.705036,1000,571.161753
-7.749077,1000,581.913466
-79.522184,1000,593.051787
-22.535211,1000,603.732195
140.458015,1000,614.845312
32.441176,206,617.126797
81.818182,1000,628.236753
11.486486,1000,639.452485
-65.277778,1000,650.865091
88.885185,964,660.968338
-64.672549,334,664.628387
9.215017,1000,674.872835
-99.071429,706,681.838206
-24.398625,1000,691.66057
-20.682759,863,700.284749
-45.179757,303,703.416301
-46.931915,215,705.749978
-23.84106,1000,716.302117
-52.521019,195,718.326111
87.919463,1000,728.584266
-151.511321,818,736.794469
55.709343,1000,746.246338
102.572347,1000,757.434605
115.613383,1000,767.7848
75.925926,1000,776.935475
-90.709594,314,779.964942
-32.692308,1000,789.728442
186.163522,1000,800.157854
146.527778,1000,811.546286
-78.10219,1000,821.812422
188.537549,1000,831.558782
67.96875,1000,841.646889
-81.343284,1000,852.400902
73.633441,1000,863.571977
-73.770492,1000,875.100748
-38.311688,1000,886.056329
401.597444,1000,898.441224
63.498099,1000,909.139274
125.56391,1000,920.138428
172.435897,1000,931.524435
31.410256,1000,942.366273
-26.153846,1000,953.492143
139.482201,1000,965.294638
220.38835,1000,977.909537
131.270358,1000,991.687986
64.874552,1000,1004.358101
5.263158,1000,1017.083679
94.092827,1000,1029.19028
64.0625,1000,1041.428582
101.342282,1000,1053.686059
45.11041,1000,1066.028535
