#{"t_start": 1754391695.8243027, "env_id": "CarRacing-v3"}
r,l,t
-55.05618,1000,31.05917
-51.492537,1000,41.006023
-56.790123,1000,54.04329
-52.861953,1000,65.346346
-43.609023,1000,78.846814
-42.760943,1000,90.43518
-39.285714,1000,103.730051
-49.101796,1000,115.412004
-36.090226,1000,128.753391
-47.540984,1000,140.100183
-67.741935,1000,153.564555
-48.717949,1000,164.725015
-22.794118,1000,177.273193
-67.63754,1000,188.104581
-44.078947,1000,201.052672
-77.848101,1000,212.522841
-55.102041,1000,225.209394
-69.072165,1000,236.394345
-72.027972,1000,249.179494
-68.992248,1000,260.459659
-70.80292,1000,273.551736
-70.588235,1000,284.5174
-71.875,1000,297.327189
-53.333333,1000,308.576837
-11.439114,1000,321.766982
-64.052288,1000,333.040509
-73.154362,1000,346.384094
-40.239044,1000,357.49597
-53.900709,1000,370.806422
-56.666667,1000,381.827322
-67.391304,1000,394.920272
-67.97153,1000,405.69386
-50.530035,1000,418.642096
-60.0,1000,429.678763
-20.0,1000,442.880997
-59.59596,1000,452.334935
-58.333333,1000,465.32434
-59.854015,1000,475.727218
-64.809384,1000,488.98787
-36.39576,1000,499.713648
-36.507937,1000,513.507984
-69.879518,1000,524.312957
-39.102564,1000,535.376038
-19.117647,1000,548.00593
13.924051,1000,558.483848
-45.558739,1000,570.953736
-8.088235,1000,580.787667
-39.597315,1000,593.219624
-44.237918,1000,603.155524
-72.60274,1000,616.083086
-29.530201,1000,626.673585
-59.322034,1000,638.903643
-33.797909,1000,649.173068
-3.225806,1000,660.940242
-25.650558,1000,670.944206
-33.333333,1000,683.251091
-43.925234,1000,693.305249
-32.862191,1000,704.924136
-45.652174,1000,714.490114
-39.297125,1000,726.929944
-21.348315,1000,737.446385
-25.170068,1000,748.717614
-22.807018,1000,758.550763
-43.521595,1000,770.086918
-27.152318,1000,779.828952
-30.795848,1000,791.44324
-24.731183,1000,800.734064
-18.287938,1000,812.344967
-17.293233,1000,822.006663
-14.814815,1000,833.361224
-29.765886,1000,842.687692
-30.0,1000,854.372083
26.760563,1000,863.870821
-19.117647,1000,875.224018
-31.972789,1000,884.92839
-13.978495,1000,896.748529
61.512027,1000,906.601976
-26.605505,1000,919.245278
-31.25,1000,929.188504
15.131579,1000,941.468588
-8.759124,1000,950.40676
57.509158,1000,962.531126
-22.033898,1000,972.379453
-15.441176,1000,985.271121
-19.708029,1000,994.305354
33.574007,1000,1004.062624
-30.0,1000,1015.597275
-36.962751,1000,1025.917192
-16.955017,1000,1038.240954
-31.818182,1000,1048.678745
-23.636364,1000,1060.253018
86.721992,1000,1069.954561
28.289474,1000,1081.625809
-9.747292,1000,1091.078091
-29.71246,1000,1102.755781
40.077821,1000,1112.51645
-20.962199,1000,1123.251833
-23.566879,1000,1133.096009
-22.807018,1000,1143.96146
-22.558923,1000,1153.298445
-15.03268,1000,1164.794352
-12.052117,1000,1174.235188
18.055556,1000,1185.900519
-14.814815,1000,1195.940452
54.109589,1000,1207.750392
-23.84106,1000,1217.384821
-20.962199,1000,1228.934754
-13.907285,1000,1239.063166
-14.285714,1000,1250.637548
66.064982,1000,1260.173265
153.08642,1000,1272.571112
17.021277,1000,1282.282227
348.412698,1000,1294.250684
21.118012,1000,1304.172569
67.763158,1000,1316.030713
412.110727,1000,1325.548527
356.273764,1000,1337.964918
228.467153,1000,1347.813602
356.445993,1000,1359.830301
276.237624,1000,1369.991724
34.228188,1000,1382.372385
518.556701,1000,1392.02859
27.946128,1000,1404.768719
29.963899,1000,1414.969329
28.205128,1000,1427.606248
147.678019,1000,1437.608034
253.623188,1000,1450.545926
283.870968,1000,1460.514428
30.952381,1000,1470.884248
291.304348,1000,1482.63112
424.475524,1000,1492.774971
393.288591,1000,1504.825512
749.81685,1000,1516.101876
644.604317,1000,1530.040778
48.026316,1000,1540.807246
166.846361,1000,1554.612652
916.3,837,1563.360695
180.864198,1000,1576.278363
65.413534,1000,1587.010845
888.847584,1000,1600.601781
292.982456,1000,1611.842545
272.483221,1000,1625.685102
452.727273,1000,1636.810578
416.363636,1000,1650.289492
251.791531,1000,1661.720623
723.717949,1000,1675.429764
396.453901,1000,1686.682868
248.534202,1000,1700.844859
256.913183,1000,1712.782469
298.026316,1000,1726.819176
-13.333333,1000,1738.140549
